token	company	director	label
director	AMAZON.COM INC	1	O
include	AMAZON.COM INC	1	O
his	AMAZON.COM INC	1	O
customer-focused	AMAZON.COM INC	1	O
point	AMAZON.COM INC	1	O
of	AMAZON.COM INC	1	O
view	AMAZON.COM INC	1	O
,	AMAZON.COM INC	1	O
his	AMAZON.COM INC	1	O
willingness	AMAZON.COM INC	1	O
to	AMAZON.COM INC	1	O
encourage	AMAZON.COM INC	1	O
invention	AMAZON.COM INC	1	O
,	AMAZON.COM INC	1	O
his	AMAZON.COM INC	1	O
long-term	AMAZON.COM INC	1	O
perspective	AMAZON.COM INC	1	O
,	AMAZON.COM INC	1	O
and	AMAZON.COM INC	1	O
his	AMAZON.COM INC	1	O
on-going	AMAZON.COM INC	1	O
contributions	AMAZON.COM INC	1	O
as	AMAZON.COM INC	1	O
founder	AMAZON.COM INC	1	O
and	AMAZON.COM INC	1	O
CEO	AMAZON.COM INC	1	B-PERSON
.	AMAZON.COM INC	1	O

Rosalind	AMAZON.COM INC	2	B-PERSON
G.	AMAZON.COM INC	2	I-PERSON
Brewer	AMAZON.COM INC	2	I-PERSON
,	AMAZON.COM INC	2	O
age	AMAZON.COM INC	2	B-DATE
56	AMAZON.COM INC	2	I-DATE
,	AMAZON.COM INC	2	O
has	AMAZON.COM INC	2	O
been	AMAZON.COM INC	2	O
a	AMAZON.COM INC	2	O
director	AMAZON.COM INC	2	B-PERSON
since	AMAZON.COM INC	2	O
February	AMAZON.COM INC	2	B-DATE
2019	AMAZON.COM INC	2	I-DATE
.	AMAZON.COM INC	2	O

Ms.	AMAZON.COM INC	2	O
Brewer	AMAZON.COM INC	2	B-PERSON
has	AMAZON.COM INC	2	O
been	AMAZON.COM INC	2	O
the	AMAZON.COM INC	2	O
Group	AMAZON.COM INC	2	B-PERSON
President	AMAZON.COM INC	2	I-PERSON
,	AMAZON.COM INC	2	I-PERSON
Americas	AMAZON.COM INC	2	I-PERSON
and	AMAZON.COM INC	2	O
Chief	AMAZON.COM INC	2	B-PERSON
Operating	AMAZON.COM INC	2	I-PERSON
Officer	AMAZON.COM INC	2	I-PERSON
of	AMAZON.COM INC	2	O
Starbucks	AMAZON.COM INC	2	B-ORG
Corporation	AMAZON.COM INC	2	I-ORG
,	AMAZON.COM INC	2	O
a	AMAZON.COM INC	2	O
roaster	AMAZON.COM INC	2	O
,	AMAZON.COM INC	2	O
marketer	AMAZON.COM INC	2	O
,	AMAZON.COM INC	2	O
and	AMAZON.COM INC	2	O
retailer	AMAZON.COM INC	2	O
of	AMAZON.COM INC	2	O
specialty	AMAZON.COM INC	2	O
coffee	AMAZON.COM INC	2	O
,	AMAZON.COM INC	2	O
since	AMAZON.COM INC	2	O
October	AMAZON.COM INC	2	B-DATE
2017	AMAZON.COM INC	2	I-DATE
,	AMAZON.COM INC	2	O
where	AMAZON.COM INC	2	O
she	AMAZON.COM INC	2	O
has	AMAZON.COM INC	2	O
also	AMAZON.COM INC	2	O
served	AMAZON.COM INC	2	O
as	AMAZON.COM INC	2	O
a	AMAZON.COM INC	2	O
director	AMAZON.COM INC	2	B-PERSON
since	AMAZON.COM INC	2	O
March	AMAZON.COM INC	2	B-DATE
2017	AMAZON.COM INC	2	I-DATE
.	AMAZON.COM INC	2	O

From	AMAZON.COM INC	2	O
February	AMAZON.COM INC	2	B-DATE
2012	AMAZON.COM INC	2	I-DATE
to	AMAZON.COM INC	2	O
February	AMAZON.COM INC	2	B-DATE
2017	AMAZON.COM INC	2	I-DATE
,	AMAZON.COM INC	2	O
she	AMAZON.COM INC	2	O
was	AMAZON.COM INC	2	O
President	AMAZON.COM INC	2	B-PERSON
and	AMAZON.COM INC	2	O
Chief	AMAZON.COM INC	2	B-PERSON
Executive	AMAZON.COM INC	2	I-PERSON
Officer	AMAZON.COM INC	2	I-PERSON
of	AMAZON.COM INC	2	O
Sam	AMAZON.COM INC	2	B-ORG
's	AMAZON.COM INC	2	I-ORG
Club	AMAZON.COM INC	2	I-ORG
,	AMAZON.COM INC	2	O
a	AMAZON.COM INC	2	O
membership-only	AMAZON.COM INC	2	O
retail	AMAZON.COM INC	2	O
warehouse	AMAZON.COM INC	2	O
club	AMAZON.COM INC	2	O
and	AMAZON.COM INC	2	O
a	AMAZON.COM INC	2	O
division	AMAZON.COM INC	2	O
of	AMAZON.COM INC	2	O
Walmart	AMAZON.COM INC	2	B-ORG
Inc.	AMAZON.COM INC	2	I-ORG
,	AMAZON.COM INC	2	O
and	AMAZON.COM INC	2	O
from	AMAZON.COM INC	2	O
2006	AMAZON.COM INC	2	B-DATE
to	AMAZON.COM INC	2	O
January	AMAZON.COM INC	2	B-DATE
2012	AMAZON.COM INC	2	I-DATE
,	AMAZON.COM INC	2	O
she	AMAZON.COM INC	2	O
served	AMAZON.COM INC	2	O
in	AMAZON.COM INC	2	O
numerous	AMAZON.COM INC	2	O	
leadership	AMAZON.COM INC	2	O
positions	AMAZON.COM INC	2	O
at	AMAZON.COM INC	2	O
various	AMAZON.COM INC	2	O
regional	AMAZON.COM INC	2	O
business	AMAZON.COM INC	2	O
units	AMAZON.COM INC	2	O
for	AMAZON.COM INC	2	O
Walmart	AMAZON.COM INC	2	B-ORG
.	AMAZON.COM INC	2	O

She	AMAZON.COM INC	2	O
served	AMAZON.COM INC	2	O
as	AMAZON.COM INC	2	O
a	AMAZON.COM INC	2	O
director	AMAZON.COM INC	2	B-PERSON
of	AMAZON.COM INC	2	O
Lockheed	AMAZON.COM INC	2	B-ORG
Martin	AMAZON.COM INC	2	I-ORG
Corporation	AMAZON.COM INC	2	I-ORG
from	AMAZON.COM INC	2	O
April	AMAZON.COM INC	2	B-DATE
2011	AMAZON.COM INC	2	I-DATE
to	AMAZON.COM INC	2	O
October	AMAZON.COM INC	2	B-DATE
2017	AMAZON.COM INC	2	I-DATE
.	AMAZON.COM INC	2	O

Ms.	AMAZON.COM INC	2	O
Brewer	AMAZON.COM INC	2	B-PERSON
's	AMAZON.COM INC	2	O
individual	AMAZON.COM INC	2	O
qualifications	AMAZON.COM INC	2	O
and	AMAZON.COM INC	2	O
skills	AMAZON.COM INC	2	O
as	AMAZON.COM INC	2	O
a	AMAZON.COM INC	2	O
director	AMAZON.COM INC	2	O
include	AMAZON.COM INC	2	O
her	AMAZON.COM INC	2	O
leadership	AMAZON.COM INC	2	O
and	AMAZON.COM INC	2	O
operations	AMAZON.COM INC	2	O
experience	AMAZON.COM INC	2	O
as	AMAZON.COM INC	2	O
a	AMAZON.COM INC	2	O
senior	AMAZON.COM INC	2	O
executive	AMAZON.COM INC	2	O
at	AMAZON.COM INC	2	O
large	AMAZON.COM INC	2	O
,	AMAZON.COM INC	2	O
multinational	AMAZON.COM INC	2	O
corporations	AMAZON.COM INC	2	O
,	AMAZON.COM INC	2	O
through	AMAZON.COM INC	2	O
which	AMAZON.COM INC	2	O
she	AMAZON.COM INC	2	O
gained	AMAZON.COM INC	2	O
experience	AMAZON.COM INC	2	O
with	AMAZON.COM INC	2	O
regulatory	AMAZON.COM INC	2	O
and	AMAZON.COM INC	2	O
compliance	AMAZON.COM INC	2	O
requirements	AMAZON.COM INC	2	O
applicable	AMAZON.COM INC	2	O
to	AMAZON.COM INC	2	O
public	AMAZON.COM INC	2	O
companies	AMAZON.COM INC	2	O
,	AMAZON.COM INC	2	O
as	AMAZON.COM INC	2	O
well	AMAZON.COM INC	2	O
as	AMAZON.COM INC	2	O
her	AMAZON.COM INC	2	O
customer	AMAZON.COM INC	2	O
experience	AMAZON.COM INC	2	O
skills	AMAZON.COM INC	2	O
.	AMAZON.COM INC	2	O

Jamie	AMAZON.COM INC	3	B-PERSON
S.	AMAZON.COM INC	3	I-PERSON
Gorelick	AMAZON.COM INC	3	I-PERSON
,	AMAZON.COM INC	3	O
age	AMAZON.COM INC	3	B-DATE
68	AMAZON.COM INC	3	I-DATE
,	AMAZON.COM INC	3	O
has	AMAZON.COM INC	3	O
been	AMAZON.COM INC	3	O
a	AMAZON.COM INC	3	O
director	AMAZON.COM INC	3	B-PERSON
since	AMAZON.COM INC	3	O
February	AMAZON.COM INC	3	B-DATE
2012	AMAZON.COM INC	3	I-DATE
.	AMAZON.COM INC	3	O

Ms.	AMAZON.COM INC	3	O
Gorelick	AMAZON.COM INC	3	B-PERSON
has	AMAZON.COM INC	3	O
been	AMAZON.COM INC	3	O
a	AMAZON.COM INC	3	O
partner	AMAZON.COM INC	3	O
with	AMAZON.COM INC	3	O
the	AMAZON.COM INC	3	O
law	AMAZON.COM INC	3	O
firm	AMAZON.COM INC	3	O
Wilmer	AMAZON.COM INC	3	B-ORG
Cutler	AMAZON.COM INC	3	I-ORG
Pickering	AMAZON.COM INC	3 I-ORG
Hale	AMAZON.COM INC	3	I-ORG
and	AMAZON.COM INC	3	I-ORG
Dorr	AMAZON.COM INC	3	I-ORG
LLP	AMAZON.COM INC	3	I-ORG
since	AMAZON.COM INC	3	O
July	AMAZON.COM INC	3	B-DATE
2003	AMAZON.COM INC	3	I-DATE
.	AMAZON.COM INC	3	O

Ms.	AMAZON.COM INC	3	O
Gorelick	AMAZON.COM INC	3	B-PERSON
's	AMAZON.COM INC	3	O
individual	AMAZON.COM INC	3	O
qualifications	AMAZON.COM INC	3	O
and	AMAZON.COM INC	3	O
skills	AMAZON.COM INC	3	O
as	AMAZON.COM INC	3	O
a	AMAZON.COM INC	3	O
director	AMAZON.COM INC	3	O
include	AMAZON.COM INC	3	O
her	AMAZON.COM INC	3	O
experience	AMAZON.COM INC	3	O
as	AMAZON.COM INC	3	O
a	AMAZON.COM INC	3	O
lawyer	AMAZON.COM INC	3	O
,	AMAZON.COM INC	3	O
her	AMAZON.COM INC	3	O
leadership	AMAZON.COM INC	3	O
experience	AMAZON.COM INC	3	O
in	AMAZON.COM INC	3	O
senior	AMAZON.COM INC	3	O
governmental	AMAZON.COM INC	3	O
positions	AMAZON.COM INC	3	O
,	AMAZON.COM INC	3	O
including	AMAZON.COM INC	3	O
experience	AMAZON.COM INC	3	O
with	AMAZON.COM INC	3	O
regulatory	AMAZON.COM INC	3	O
and	AMAZON.COM INC	3	O
compliance	AMAZON.COM INC	3	O
matters	AMAZON.COM INC	3	O
,	AMAZON.COM INC	3	O
as	AMAZON.COM INC	3	O
well	AMAZON.COM INC	3	O
as	AMAZON.COM INC	3	O
her	AMAZON.COM INC	3	O
customer	AMAZON.COM INC	3	O
experience	AMAZON.COM INC	3	O
skills	AMAZON.COM INC	3	O
and	AMAZON.COM INC	3	O
skills	AMAZON.COM INC	3	O
relating	AMAZON.COM INC	3	O
to	AMAZON.COM INC	3	O
public	AMAZON.COM INC	3	O
policy	AMAZON.COM INC	3	O
and	AMAZON.COM INC	3	O
financial	AMAZON.COM INC	3	O
statement	AMAZON.COM INC	3	O
and	AMAZON.COM INC	3	O
accounting	AMAZON.COM INC	3	O
matters	AMAZON.COM INC	3	O
.	AMAZON.COM INC	3	O

Judith	AMAZON.COM INC	4	B-PERSON
A.	AMAZON.COM INC	4	I-PERSON
McGrath	AMAZON.COM INC	4	I-PERSON
,	AMAZON.COM INC	4	O
age	AMAZON.COM INC	4	B-DATE
66	AMAZON.COM INC	4	I-DATE
,	AMAZON.COM INC	4	O
has	AMAZON.COM INC	4	O
been	AMAZON.COM INC	4	O
a	AMAZON.COM INC	4	O
director	AMAZON.COM INC	4	O
since	AMAZON.COM INC	4	O
July	AMAZON.COM INC	4	B-DATE
2014	AMAZON.COM INC	4	I-DATE
.	AMAZON.COM INC	4	O

Ms.	AMAZON.COM INC	4	O
McGrath	AMAZON.COM INC	4	B-PERSON
serves	AMAZON.COM INC	4	O
as	AMAZON.COM INC	4	O
a	AMAZON.COM INC	4	O
senior	AMAZON.COM INC	4	O
advisor	AMAZON.COM INC	4	O
to	AMAZON.COM INC	4	O
Astronauts	AMAZON.COM INC	4	B-ORG
Wanted	AMAZON.COM INC	4	I-ORG
*	AMAZON.COM INC	4	I-ORG
No	AMAZON.COM INC	4	I-ORG
experience	AMAZON.COM INC	4	I-ORG
necessary	AMAZON.COM INC	4	I-ORG
,	AMAZON.COM INC	4	O
a	AMAZON.COM INC	4	O
multimedia	AMAZON.COM INC	4	O
joint	AMAZON.COM INC	4	O
venture	AMAZON.COM INC	4	O
that	AMAZON.COM INC	4	O
Ms.	AMAZON.COM INC	4	O
McGrath	AMAZON.COM INC	4	B-PERSON
formed	AMAZON.COM INC	4	O
with	AMAZON.COM INC	4	O
Sony	AMAZON.COM INC	4	B-ORG
Music	AMAZON.COM INC	4	I-ORG
Entertainment	AMAZON.COM INC	4	I-ORG
,	AMAZON.COM INC	4	O
and	AMAZON.COM INC	4	O
served	AMAZON.COM INC	4	O
as	AMAZON.COM INC	4	O
President	AMAZON.COM INC	4	B-PERSON
of	AMAZON.COM INC	4	O
Astronauts	AMAZON.COM INC	4	B-ORG
Wanted	AMAZON.COM INC	4	I-ORG
from	AMAZON.COM INC	4	O
June	AMAZON.COM INC	4	B-DATE
2013	AMAZON.COM INC	4	I-DATE
to	AMAZON.COM INC	4	O
March	AMAZON.COM INC	4	B-DATE
of	AMAZON.COM INC	4	O
2018	AMAZON.COM INC	4	B-DATE
.	AMAZON.COM INC	4	O

The	AMAZON.COM INC	4	O
company	AMAZON.COM INC	4	O
is	AMAZON.COM INC	4	O
currently	AMAZON.COM INC	4	O
a	AMAZON.COM INC	4	O
subsidiary	AMAZON.COM INC	4	O
of	AMAZON.COM INC	4	O
Sony	AMAZON.COM INC	4	B-ORG
Pictures	AMAZON.COM INC	4	I-ORG
Television	AMAZON.COM INC	4	I-ORG
.	AMAZON.COM INC	4	O

Ms.	AMAZON.COM INC	4	O
McGrath	AMAZON.COM INC	4	B-PERSON
served	AMAZON.COM INC	4	O
as	AMAZON.COM INC	4	O
Chair	AMAZON.COM INC	4	B-PERSON
and	AMAZON.COM INC	4	O
Chief	AMAZON.COM INC	4	B-PERSON
Executive	AMAZON.COM INC	4	I-PERSON
Officer	AMAZON.COM INC	4	I-PERSON
of	AMAZON.COM INC	4	O
MTV	AMAZON.COM INC	4	B-ORG
Networks	AMAZON.COM INC	4	I-ORG
Entertainment	AMAZON.COM INC	4	I-ORG
Group	AMAZON.COM INC	4	I-ORG
worldwide	AMAZON.COM INC	4	O
,	AMAZON.COM INC	4	O
a	AMAZON.COM INC	4	O
division	AMAZON.COM INC	4	O
of	AMAZON.COM INC	4	O
Viacom	AMAZON.COM INC	4	B-ORG
,	AMAZON.COM INC	4	I-ORG
Inc.	AMAZON.COM INC	4	I-ORG
,	AMAZON.COM INC	4	O
including	AMAZON.COM INC	4	O
Comedy	AMAZON.COM INC	4	B-ORG
Central	AMAZON.COM INC	4	I-ORG
and	AMAZON.COM INC	4	O
Nickelodeon	AMAZON.COM INC	4	B-ORG
,	AMAZON.COM INC	4	O
from	AMAZON.COM INC	4	O
July	AMAZON.COM INC	4	B-DATE
2004	AMAZON.COM INC	4	I-DATE
until	AMAZON.COM INC	4	O
May	AMAZON.COM INC	4	B-DATE
2011	AMAZON.COM INC	4	I-DATE
.	AMAZON.COM INC	4	O

She	AMAZON.COM INC	4	O
was	AMAZON.COM INC	4	O
part	AMAZON.COM INC	4	O
of	AMAZON.COM INC	4	O
the	AMAZON.COM INC	4	O
original	AMAZON.COM INC	4	O
founder	AMAZON.COM INC	4	O
and	AMAZON.COM INC	4	O
launch	AMAZON.COM INC	4	O
team	AMAZON.COM INC	4	O
for	AMAZON.COM INC	4	O
MTV	AMAZON.COM INC	4	O
.	AMAZON.COM INC	4	O

Ms.	AMAZON.COM INC	4	O
McGrath	AMAZON.COM INC	4	B-PERSON
's	AMAZON.COM INC	4	O
individual	AMAZON.COM INC	4	O
qualifications	AMAZON.COM INC	4	O
and	AMAZON.COM INC	4	O
skills	AMAZON.COM INC	4	O
as	AMAZON.COM INC	4	O
a	AMAZON.COM INC	4	O
director	AMAZON.COM INC	4	O
include	AMAZON.COM INC	4	O
her	AMAZON.COM INC	4	O
leadership	AMAZON.COM INC	4	O
and	AMAZON.COM INC	4	O
multimedia	AMAZON.COM INC	4	O
operations	AMAZON.COM INC	4	O
experience	AMAZON.COM INC	4	O
as	AMAZON.COM INC	4	O
a	AMAZON.COM INC	4	O
longtime	AMAZON.COM INC	4	O
senior	AMAZON.COM INC	4	O
executive	AMAZON.COM INC	4	O
of	AMAZON.COM INC	4	O
MTV	AMAZON.COM INC	4	B-ORG
Networks	AMAZON.COM INC	4	I-ORG
Entertainment	AMAZON.COM INC	4	I-ORG
Group	AMAZON.COM INC	4	I-ORG
,	AMAZON.COM INC	4	O
through	AMAZON.COM INC	4	O
which	AMAZON.COM INC	4	O
she	AMAZON.COM INC	4	O
gained	AMAZON.COM INC	4	O
experience	AMAZON.COM INC	4	O
with	AMAZON.COM INC	4	O
content	AMAZON.COM INC	4	O
creation	AMAZON.COM INC	4	O
,	AMAZON.COM INC	4	O
advertising	AMAZON.COM INC	4	O
,	AMAZON.COM INC	4	O
and	AMAZON.COM INC	4	O
content	AMAZON.COM INC	4	O
distribution	AMAZON.COM INC	4	O
,	AMAZON.COM INC	4	O
as	AMAZON.COM INC	4	O
well	AMAZON.COM INC	4	O
as	AMAZON.COM INC	4	O
her	AMAZON.COM INC	4	O
customer	AMAZON.COM INC	4	O
experience	AMAZON.COM INC	4	O
skills	AMAZON.COM INC	4	O
.	AMAZON.COM INC	4	O

Ms.	AMAZON.COM INC	4	O
McGrath	AMAZON.COM INC	4	B-PERSON
further	AMAZON.COM INC	4	O
honed	AMAZON.COM INC	4	O
her	AMAZON.COM INC	4	O
digital	AMAZON.COM INC	4	O
and	AMAZON.COM INC	4	O
entrepreneurial	AMAZON.COM INC	4	O
experience	AMAZON.COM INC	4	O
with	AMAZON.COM INC	4	O
global	AMAZON.COM INC	4	O
customers	AMAZON.COM INC	4	O
in	AMAZON.COM INC	4	O
her	AMAZON.COM INC	4	O
role	AMAZON.COM INC	4	O
at	AMAZON.COM INC	4	O
Astronauts	AMAZON.COM INC	4	B-ORG
Wanted	AMAZON.COM INC	4	I-ORG
*	AMAZON.COM INC	4	I-ORG
No	AMAZON.COM INC	4	I-ORG
experience	AMAZON.COM INC	4	I-ORG
necessary	AMAZON.COM INC	4	I-ORG
.	AMAZON.COM INC	4	O

Indra	AMAZON.COM INC	5 	B-PERSON
K.	AMAZON.COM INC	5	I-PERSON
Nooyi	AMAZON.COM INC	5	I-PERSON
,	AMAZON.COM INC	5	O
age	AMAZON.COM INC	5	B-DATE
63	AMAZON.COM INC	5	I-DATE
,	AMAZON.COM INC	5	O
has	AMAZON.COM INC	5	O
been	AMAZON.COM INC	5	O
a	AMAZON.COM INC	5	O
director	AMAZON.COM INC	5	B-PERSON
since	AMAZON.COM INC	5	O
February	AMAZON.COM INC	5	B-DATE
2019	AMAZON.COM INC	5	I-DATE
.	AMAZON.COM INC	5	O

Ms.	AMAZON.COM INC	5	O
Nooyi	AMAZON.COM INC	5	B-PERSON
was	AMAZON.COM INC	5	O
the	AMAZON.COM INC	5	O
Chief	AMAZON.COM INC	5	B-PERSON
Executive	AMAZON.COM INC	5	I-PERSON
Officer	AMAZON.COM INC	5	I-PERSON
of	AMAZON.COM INC	5	O
PepsiCo	AMAZON.COM INC	5	B-ORG
,	AMAZON.COM INC	5	I-ORG
Inc.	AMAZON.COM INC	5	I-ORG
,	AMAZON.COM INC	5	O
a	AMAZON.COM INC	5	O
multinational	AMAZON.COM INC	5	O
food	AMAZON.COM INC	5	O
,	AMAZON.COM INC	5	O
snack	AMAZON.COM INC	5	O
,	AMAZON.COM INC	5	O
and	AMAZON.COM INC	5	O
beverage	AMAZON.COM INC	5	O
company	AMAZON.COM INC	5	O
,	AMAZON.COM INC	5	O
from	AMAZON.COM INC	5	O
October	AMAZON.COM INC	5	B-DATE
2006	AMAZON.COM INC	5	I-DATE
to	AMAZON.COM INC	5	O
October	AMAZON.COM INC	5	B-DATE
2018	AMAZON.COM INC	5	I-DATE
,	AMAZON.COM INC	5	O
where	AMAZON.COM INC	5	O
she	AMAZON.COM INC	5	O
also	AMAZON.COM INC	5	O
served	AMAZON.COM INC	5	O
as	AMAZON.COM INC	5	O
the	AMAZON.COM INC	5	O
Chairman	AMAZON.COM INC	5	B-PERSON
of	AMAZON.COM INC	5	O
its	AMAZON.COM INC	5	O
board	AMAZON.COM INC	5	B-ORG
of	AMAZON.COM INC	5	I-ORG
directors	AMAZON.COM INC	5	I-ORG
from	AMAZON.COM INC	5	O
May	AMAZON.COM INC	5	B-DATE
2007	AMAZON.COM INC	5	I-DATE
to	AMAZON.COM INC	5	O
February	AMAZON.COM INC	5	B-DATE
2019	AMAZON.COM INC	5	I-DATE
.	AMAZON.COM INC	5	O

She	AMAZON.COM INC	5	O
was	AMAZON.COM INC	5	O
elected	AMAZON.COM INC	5	O
to	AMAZON.COM INC	5	O
PepsiCo	AMAZON.COM INC	5	B-ORG
's	AMAZON.COM INC	5	O
board	AMAZON.COM INC	5	B-ORG
of	AMAZON.COM INC	5	I-ORG
directors	AMAZON.COM INC	5	I-ORG
and	AMAZON.COM INC	5	O
became	AMAZON.COM INC	5	O
its	AMAZON.COM INC	5	O
President	AMAZON.COM INC	5	B-PERSON
and	AMAZON.COM INC	5	O
Chief	AMAZON.COM INC	5	B-PERSON
Financial	AMAZON.COM INC	5	I-PERSON
Officer	AMAZON.COM INC	5	I-PERSON
in	AMAZON.COM INC	5	O
2001	AMAZON.COM INC	5	B-DATE
,	AMAZON.COM INC	5	O
and	AMAZON.COM INC	5	O
held	AMAZON.COM INC	5	O
leadership	AMAZON.COM INC	5	O
roles	AMAZON.COM INC	5	O
in	AMAZON.COM INC	5	O
finance	AMAZON.COM INC	5	O
,	AMAZON.COM INC	5	O
corporate	AMAZON.COM INC	5	O
strategy	AMAZON.COM INC	5	O
and	AMAZON.COM INC	5	O
development	AMAZON.COM INC	5	O
,	AMAZON.COM INC	5	O
and	AMAZON.COM INC	5	O
strategic	AMAZON.COM INC	5	O
planning	AMAZON.COM INC	5	O
after	AMAZON.COM INC	5	O
joining	AMAZON.COM INC	5	O
PepsiCo	AMAZON.COM INC	5	B-ORG
in	AMAZON.COM INC	5	O
1994	AMAZON.COM INC	5	B-DATE
.	AMAZON.COM INC	5	O

Ms.	AMAZON.COM INC	5	O
Nooyi	AMAZON.COM INC	5	B-PERSON
has	AMAZON.COM INC	5	O
served	AMAZON.COM INC	5	O
as	AMAZON.COM INC	5	O
a	AMAZON.COM INC	5	O
director	AMAZON.COM INC	5	B-PERSON
of	AMAZON.COM INC	5	O
Schlumberger	AMAZON.COM INC	5	B-ORG
Limited	AMAZON.COM INC	5	I-ORG
since	AMAZON.COM INC	5	O
April	AMAZON.COM INC	5	B-DATE
2015	AMAZON.COM INC	5	I-DATE
.	AMAZON.COM INC	5	O

Ms.	AMAZON.COM INC	5	O
Nooyi	AMAZON.COM INC	5	B-PERSON
's	AMAZON.COM INC	5	O
individual	AMAZON.COM INC	5	O
qualifications	AMAZON.COM INC	5	O
and	AMAZON.COM INC	5	O
skills	AMAZON.COM INC	5	O
as	AMAZON.COM INC	5	O
a	AMAZON.COM INC	5	O
director	AMAZON.COM INC	5	O
include	AMAZON.COM INC	5	O
her	AMAZON.COM INC	5	O
leadership	AMAZON.COM INC	5	O
experience	AMAZON.COM INC	5	O
as	AMAZON.COM INC	5	O
a	AMAZON.COM INC	5	O
longtime	AMAZON.COM INC	5	O
senior	AMAZON.COM INC	5	O
executive	AMAZON.COM INC	5	O
at	AMAZON.COM INC	5	O
a	AMAZON.COM INC	5	O
large	AMAZON.COM INC	5	O
corporation	AMAZON.COM INC	5	O
with	AMAZON.COM INC	5	O
international	AMAZON.COM INC	5	O
operations	AMAZON.COM INC	5	O
,	AMAZON.COM INC	5	O
through	AMAZON.COM INC	5	O
which	AMAZON.COM INC	5	O
she	AMAZON.COM INC	5	O
gained	AMAZON.COM INC	5	O
experience	AMAZON.COM INC	5	O
with	AMAZON.COM INC	5	O
consumer-focused	AMAZON.COM INC	5	O
product	AMAZON.COM INC	5	O
development	AMAZON.COM INC	5	O
,	AMAZON.COM INC	5	O
international	AMAZON.COM INC	5	O
operations	AMAZON.COM INC	5	O
,	AMAZON.COM INC	5	O
and	AMAZON.COM INC	5	O
marketing	AMAZON.COM INC	5	O
issues	AMAZON.COM INC	5	O
,	AMAZON.COM INC	5	O
as	AMAZON.COM INC	5	O
well	AMAZON.COM INC	5	O
as	AMAZON.COM INC	5	O
her	AMAZON.COM INC	5	O
customer	AMAZON.COM INC	5	O
experience	AMAZON.COM INC	5	O
skills	AMAZON.COM INC	5	O
and	AMAZON.COM INC	5	O
skills	AMAZON.COM INC	5	O
relating	AMAZON.COM INC	5	O
to	AMAZON.COM INC	5	O
financial	AMAZON.COM INC	5	O
statement	AMAZON.COM INC	5	O
and	AMAZON.COM INC	5	O
accounting	AMAZON.COM INC	5	O
matters	AMAZON.COM INC	5	O
.	AMAZON.COM INC	5	O

Jonathan	AMAZON.COM INC	6 B-PERSON
J.	AMAZON.COM INC	6	I-PERSON
Rubinstein	AMAZON.COM INC	6	I-PERSON
,	AMAZON.COM INC	6	O
age	AMAZON.COM INC	6	B-DATE
62	AMAZON.COM INC	6	I-DATE
,	AMAZON.COM INC	6	O
has	AMAZON.COM INC	6	O
been	AMAZON.COM INC	6	O
a	AMAZON.COM INC	6	O
director	AMAZON.COM INC	6	B-PERSON
since	AMAZON.COM INC	6	O
December	AMAZON.COM INC	6	B-DATE
2010	AMAZON.COM INC	6	I-DATE
.	AMAZON.COM INC	6	O

Mr.	AMAZON.COM INC	6	O
